,title,summary,installs,minInstalls,realInstalls,score,ratings,reviews,price,free,currency,sale,saleTime,originalPrice,saleText,offersIAP,inAppProductPrice,developer,developerId,developerEmail,developerWebsite,developerAddress,privacyPolicy,genre,genreId,icon,headerImage,video,videoImage,contentRating,contentRatingDescription,adSupported,containsAds,released,updated,version,recentChanges,recentChangesHTML,appId,url
10,JioCinema: Movies TV Originals,Now watch your favourite movies in multiple audio languages!,"1,000,000+",1000000,3370925,0.0,0,0,0,True,USD,False,,,,False,,Reliance Projects & Property Mgmt Services Ltd,Reliance+Projects+%26+Property+Mgmt+Services+Ltd,jiocinema@jio.com,http://www.jio.com,,http://apigw.jio.ril.com/help/jiovod/privacypolicy,Entertainment,ENTERTAINMENT,https://play-lh.googleusercontent.com/R8Wk3NqAh2TcPYMB_j8oedqMEc4u6IgCSSA_kAatfF0zR_bmSpCPfLG9X3vWBv3CJ99t,https://play-lh.googleusercontent.com/NmvjAfzQVbFkjblUGnBHE9pmSgfp6qOh76uTQu4g1EvGUMsGlW3sTAFvLpNwCiJ4-K4j,,,Teen,,True,True,,1641909786,1.6.9,"Force update capability for the app.
Major crash issues fixed.
Miscellaneous UI/UX issues fixed.",Force update capability for the app.<br>Major crash issues fixed.<br>Miscellaneous UI/UX issues fixed.,com.jio.media.stb.ondemand,https://play.google.com/store/apps/details?id=com.jio.media.stb.ondemand&hl=en&gl=us
11,Amazon Kindle,"Your library in your pocket. Anytime, anywhere.","100,000,000+",100000000,409119851,4.596211,2664461,147091,0,True,USD,False,,,,False,,Amazon Mobile LLC,Amazon+Mobile+LLC,kindle-cs-support@amazon.com,http://www.amazon.com/kindleapps,"AMZN Mobile LLC
410 Terry Ave N
Seattle, WA 98109",https://www.amazon.com/gp/help/customer/display.html?nodeId=468496,Books & Reference,BOOKS_AND_REFERENCE,https://play-lh.googleusercontent.com/48wwD4kfFSStoxwuwCIu6RdM2IeZmZKfb1ZeQkga0qEf1JKsiD-hK3Qf8qvxHL09lQ,https://play-lh.googleusercontent.com/QUc_OAw7kFgekwUj-OR6TgmFTgu8gpJTWrRbX_gKDB1t86k3rLSIyZGqFVGxo998RZ2G,,,Teen,,True,True,"Jun 28, 2010",1662745777,Varies with device,Several experience improvements and bug fixes.,Several experience improvements and bug fixes.,com.amazon.kindle,https://play.google.com/store/apps/details?id=com.amazon.kindle&hl=en&gl=us
12,Truecaller: Caller ID & Block,Call blocker: block spam calls & text messages. Identify unknown phone calls,"500,000,000+",500000000,994234417,4.5139737,18027203,153066,0,True,USD,False,,,,True,$0.99 - $249.00 per item,Truecaller,5383913004303935162,support@truecaller.com,http://www.truecaller.com/,"Platina Tower, MG Road, Sector 28, Gurugram, 122001
India",https://www.truecaller.com/privacy-policy,Communication,COMMUNICATION,https://play-lh.googleusercontent.com/nn_U3vONiACS6blzpxXPhIDRDsyE97cozJj0bXfgxCUFStnEhZ28r2F1Lm5Z8PAfZqM,https://play-lh.googleusercontent.com/9hKUO88DBZvLvQXMdkq3tdCWjQFyGxrJwWf208wL0KuV2gt_UW9P6uPIYVpEQXqNvg,,,Everyone,,True,True,"May 31, 2012",1662120027,Varies with device,"We keep updating our App to make it better. 
This version brings:
- Star your important calls and also add a note that you want to remember and look at another day
- Be creative and elevate your Video Caller ID with a range of amazing face filters
- Our redesigned profile will show you the number of spam calls, messages and unknown numbers you blocked, as well as how much time you've saved by doing so","We keep updating our App to make it better. <br>This version brings:<br>- Star your important calls and also add a note that you want to remember and look at another day<br>- Be creative and elevate your Video Caller ID with a range of amazing face filters<br>- Our redesigned profile will show you the number of spam calls, messages and unknown numbers you blocked, as well as how much time you&#39;ve saved by doing so",com.truecaller,https://play.google.com/store/apps/details?id=com.truecaller&hl=en&gl=us
13,Google Earth,Find satellite images of any location. Discover cities and mountains with tours.,"100,000,000+",100000000,464517770,4.2778234,2882549,101287,0,True,USD,False,,,,False,,Google LLC,5700313618786177705,apps-help@google.com,http://www.google.com/earth/,"1600 Amphitheatre Parkway, Mountain View 94043",http://www.google.com/policies/privacy,Travel & Local,TRAVEL_AND_LOCAL,https://play-lh.googleusercontent.com/9ORDOmn8l9dh-j4Sg3_S7CLcy0RRAI_wWt5jZtJOPztwnEkQ4y7mmGgoSYqbFR5jTc3m,https://play-lh.googleusercontent.com/dLUMQgGnsEBl6TkogTnzJXqJeQOiX8guQQDsZ-VrBpeLtKYkwLnjIxhozoRnkNHF2Q,,,Everyone,,False,False,"Feb 22, 2010",1653321651,Varies with device,"An improved search experience now includes locations, suggested points of interest, data layers, and guided tours in Voyager.","An improved search experience now includes locations, suggested points of interest, data layers, and guided tours in Voyager.",com.google.earth,https://play.google.com/store/apps/details?id=com.google.earth&hl=en&gl=us
14,IRCTC AIR,** IRCTC Air - The Official Mobile App ***,"10,000,000+",10000000,10846485,3.56,79947,36,0,True,USD,False,,,,False,,IRCTC Official,IRCTC+Official,flights@irctc.co.in,http://www.air.irctc.co.in,,https://www.air.irctc.co.in/IndianRailways/irctcair/termsandcondition.html,Travel & Local,TRAVEL_AND_LOCAL,https://play-lh.googleusercontent.com/FLpA-kZ5e-kZzRLHGvGGSEamURMsxxCpPOIMbx4PA6JX2ANsAZ4MWwh_mrRt-JQeLzoH,https://play-lh.googleusercontent.com/TsYDHaLPEGgcqAMdM0lhpfLoskxNkyCqX7pHe8q92-HR9r03nZfM_RFKwcW50ewcxQ,,,Everyone,,False,False,"May 31, 2016",1647844320,4.31,,,com.irctc.air,https://play.google.com/store/apps/details?id=com.irctc.air&hl=en&gl=us
15,Booking.com: Hotels and more,Book your whole trip in one app.,"500,000,000+",500000000,516920130,4.5639567,3515035,76001,0,True,USD,False,,,,False,,Booking.com Hotels & Vacation Rentals,8601716327451933581,customer.service@booking.com,http://www.booking.com/apps.html?source=googleplay,,http://www.booking.com/content/privacy.html,Travel & Local,TRAVEL_AND_LOCAL,https://play-lh.googleusercontent.com/eJuvWSnbPwEWAQCYwl8i9nPJXRzTv94JSYGGrKIu0qeuG_5wgYtb982-2F_jOGtIytY,https://play-lh.googleusercontent.com/hlR2Yjt1QpKswTzZ3MTjOXvIXsQaZm7Yp1nUompK9lg955KTKB2idp0JeZhVPh0SJOs,https://www.youtube.com/embed/FTkZZwZycRE?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/hlR2Yjt1QpKswTzZ3MTjOXvIXsQaZm7Yp1nUompK9lg955KTKB2idp0JeZhVPh0SJOs,Everyone,,False,False,"Feb 4, 2011",1662567253,Varies with device,"We added some important info about our properties. Our listings now include details on each accommodation's cleaning practices, social distancing measures, and other health and safety policies.","We added some important info about our properties. Our listings now include details on each accommodation&#39;s cleaning practices, social distancing measures, and other health and safety policies.",com.booking,https://play.google.com/store/apps/details?id=com.booking&hl=en&gl=us
16,Stranger Cases: A Mystery Esca,Can you solve the escape mystery of the missing baby drone?,"500,000+",500000,716704,4.3,6590,362,0,True,USD,False,,,,True,$0.99 - $2.99 per item,Snapbreak,8610760313453635485,info@snapbreak.com,https://www.snapbreak.com,"Snapbreak Games AB
Box 3116
400 10 Gothenburg, Sweden",https://snapbreak.com/privacy-policy-of-snapbreak-games-ab.html,Puzzle,GAME_PUZZLE,https://play-lh.googleusercontent.com/EIz3nhyR8s47fnenyOeN8O3L8fBnSwuZe3kzCEUsIEMYN4yL1xPnyD77-RMHxsRMquk,https://play-lh.googleusercontent.com/F-agYEihtwG6Nrgz64W9a1qyWEKNABM3bA9V3T3naXaBQdeFLnitfN9nRLyu2mE0dA,https://www.youtube.com/embed/au6q9JD9oSM?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/F-agYEihtwG6Nrgz64W9a1qyWEKNABM3bA9V3T3naXaBQdeFLnitfN9nRLyu2mE0dA,Everyone,"Mild Fantasy Violence, Comic Mischief",True,True,"Aug 15, 2018",1614859994,1.24,Added Play Pass support,Added Play Pass support,com.snapbreak.strangercases,https://play.google.com/store/apps/details?id=com.snapbreak.strangercases&hl=en&gl=us
17,"Adobe Scan: PDF Scanner, OCR",Use the Markup tool to easily make corrections & leave quick notes in work docs.,"100,000,000+",100000000,113605019,4.7875953,2268044,49942,0,True,USD,False,,,,True,$3.99 - $69.99 per item,Adobe,4734916851270416020,Grp-adobescan-android@adobe.com,https://forums.adobe.com/community/document-cloud/scanandroid/overview,"Adobe Inc.
345 Park Avenue
San Jose, CA 95110-2704",http://www.adobe.com/privacy/policy.html,Business,BUSINESS,https://play-lh.googleusercontent.com/W8hcwa6JamuHhxDaPeyFx1_kIqBOYPMGrL4KH-YMMaGMt1UheJ1W3_OWAykE98_fxX1U,https://play-lh.googleusercontent.com/NTPfNvLGSEZ4NtA8xUX3k7KBGgPgNmFBN4dVsqKYRXIxCNrJkXclllMJTl5el_zUXSAx,,,Everyone,,False,False,"May 31, 2017",1661811033,Varies with device,"IMPROVED:
• Performance and stability.",IMPROVED:<br>• Performance and stability.,com.adobe.scan.android,https://play.google.com/store/apps/details?id=com.adobe.scan.android&hl=en&gl=us
18,Coast Guard: Beach Rescue Team,"Cars, boats and many challenges. Rescue people in trouble, park on land and sea.","5,000,000+",5000000,5196929,4.278027,26645,906,0,True,USD,False,,,,True,$1.99 - $30.99 per item,Play With Games,Play+With+Games,info@playwithgames.com,http://www.playwithgames.com,"15 Spinnaker Quay
Mount Batten
Plymouth
Devon
PL9 9SA
United Kingdom",http://www.playwithgames.com/privacy.html,Racing,GAME_RACING,https://play-lh.googleusercontent.com/IPg0C8w1ah1zrbpHBrSGH1F8xxjLk1jB4HHdcKGLIgNfBX5srU665DhFL9g_aZ0MjIc,https://play-lh.googleusercontent.com/638tBkD21xVGNQe65ekWy8dtTbXzTl_C1NH2wE9hz7q6M5biFaMBRgmacEJg7EXLmkY,https://www.youtube.com/embed/v8Yq0KwuUU4?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/638tBkD21xVGNQe65ekWy8dtTbXzTl_C1NH2wE9hz7q6M5biFaMBRgmacEJg7EXLmkY,Teen,Violence,True,True,"May 6, 2017",1597447538,1.3.1,,,com.playwithgames.CoastGuardParking,https://play.google.com/store/apps/details?id=com.playwithgames.CoastGuardParking&hl=en&gl=us
19,"Amazon India Shop, Pay, miniTV","Shop products, pay bills, make UPI payments, order groceries & watch miniTV","100,000,000+",100000000,385754308,4.49106,8615147,3916,0,True,USD,False,,,,False,,Amazon Mobile LLC,Amazon+Mobile+LLC,feedback-amazon-app-android@amazon.com,http://www.amazon.in/,"AMZN Mobile LLC
410 Terry Ave N
Seattle, WA 98109",http://www.amazon.in/privacy,Shopping,SHOPPING,https://play-lh.googleusercontent.com/QrDjFxk6q1snmS96tGAhMJYl7N1_thOJxR62etDJbL5nhSozwdCoXC55nHjL2NFD8d8,https://play-lh.googleusercontent.com/azChjyqwbvhu6zCU1IgrL_vbSXqmr2hD-T1_GPokw49q6dNmN_5R_R-sspGXRFBE9u1s,https://www.youtube.com/embed/tWcsFiNXaro?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/azChjyqwbvhu6zCU1IgrL_vbSXqmr2hD-T1_GPokw49q6dNmN_5R_R-sspGXRFBE9u1s,Everyone,,True,True,,1662231876,Varies with device,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Basket and Search.

Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience.

Listen to Music while you shop. Tap the mic icon and say 'Alexa, play songs by A.R.Rahman'","Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Basket and Search.<br><br>Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience.<br><br>Listen to Music while you shop. Tap the mic icon and say &#39;Alexa, play songs by A.R.Rahman&#39;",in.amazon.mShop.android.shopping,https://play.google.com/store/apps/details?id=in.amazon.mShop.android.shopping&hl=en&gl=us
20,Accio! - Harry Potter Magic Wo,Wands at the ready! Put your knowledge of Harry Potter magic spells to the test!,"10,000+",10000,37387,4.375,435,13,0,True,USD,False,,,,True,$0.99 - $3.49 per item,Nisapi Studio,Nisapi+Studio,nisapistudio@gmail.com,http://pub-5wt36-z7g4u.quickappninja.com,"Kooikerstraat,
Alphen aan den Rijn,
The Netherlands",http://nisapistudio.com/privacy-policy,Word,GAME_WORD,https://play-lh.googleusercontent.com/ShIXLK1ckO78bpyY6-X5pYBthPcxiHveIn4o43dzcANpC62pbmWQYT8LoXOhJGICaX8,https://play-lh.googleusercontent.com/yP7Vym2YKfLmyGdCl0v76068KC1YoHsB_8q7PdynwHC14Zh-tDDMwC4FDpaFHhQHT7Q,,,Everyone,,True,True,"Apr 23, 2020",1588522486,1.10.9z,"Updated content Accio - Magic Word Puzzle.
Wizarding World Spells Game",Updated content Accio - Magic Word Puzzle.<br>Wizarding World Spells Game,com.nisapistudio.potterspells,https://play.google.com/store/apps/details?id=com.nisapistudio.potterspells&hl=en&gl=us
21,PHARMACY INDIA,Connect with PHARMACY INDIA in an efficient and transparent manner,"100,000+",100000,117044,0.0,0,0,0,True,USD,False,,,,False,,Education A19-Media,Education+A19-Media,april2019@classplus.co,,,https://classplusapp.com/privacy.html,Education,EDUCATION,https://play-lh.googleusercontent.com/Oe4a3F0w65rGwBx2i1eu2ZUOHT6j4RCUqb-WICmUBN5QcsyeZ0qXutA2t5YdNLEHiw,https://play-lh.googleusercontent.com/ad3Oihlc7NS6a8Jm2ew1SNBwhcFCRmxlVkB2vEiOJVNhTp8wAQQplcUcQpbzASqdW1yZ,,,Everyone,,False,False,"Oct 4, 2019",1661850542,1.4.58.4,,,co.april2019.pindia,https://play.google.com/store/apps/details?id=co.april2019.pindia&hl=en&gl=us
22,Ni-kshay,Ni-kshay - integrated ICT system for TB patients and TPT beneficiary management,"100,000+",100000,342167,0.0,0,0,0,True,USD,False,,,,False,,National TB Elimination Program (NTEP),National+TB+Elimination+Program+(NTEP),nikshay@rntcp.org,http://www.nikshay.gov.in,"Central TB Division
Ground and Second Floor,
Jeevan Vihar Building, 3 Sansad Marg,
Connaught Place, New Delhi - 110001",https://nikshay.zendesk.com/hc/en-us/articles/360016260931-Privacy-Policy,Medical,MEDICAL,https://play-lh.googleusercontent.com/TK1AUhjxDNqSfQHEfh1IjwTuruGOmVBbdHaWRPWyKZuMhUlWm2JlyC6EWMb18F7L6Ec,https://play-lh.googleusercontent.com/InDbFCfxD70UqZ0mEbAb-IdRoNGvX7vVrjFDvhAZ9WRTutlNGF1BklfMegZBr_kFMA,,,Everyone,,False,False,,1662052545,2.9.1,* Bug Fixes and Performance Improvements.,* Bug Fixes and Performance Improvements.,org.rntcp.nikshay,https://play.google.com/store/apps/details?id=org.rntcp.nikshay&hl=en&gl=us
